long,lat
146.95,-43.033
147.916,-43.016
147.3210415,-42.99861848
147.1910434,-42.98861957
146.916,-42.983
147.916,-42.983
147.3,-42.98
147.52,-42.98
147.7,-42.98
147.141044,-42.97861994
147.3210412,-42.97861834
146.4010555,-42.96532648
146.4110552,-42.95862635
147.5310375,-42.95861635
146.42,-42.95
146.916,-42.95
147.25,-42.95
147.866,-42.95
146.1710588,-42.94862844
147.3510402,-42.94861788
146.766,-42.933
147.333,-42.933
147.2910408,-42.92861828
147.4110389,-42.92861722
147.4910373,-42.90861638
146,-42.9
147.23,-42.9
147.233,-42.9
147.3,-42.9
147.316,-42.9
147.33,-42.9
147.2310413,-42.89861861
147.2343412,-42.89861858
147.2910403,-42.89861808
147.31104,-42.8986179
147.3310397,-42.89861773
147.4410379,-42.89861675
147.6410346,-42.88861492
147.316,-42.883
147.317,-42.883
147.32,-42.88
147.3210395,-42.87861768
147.2910398,-42.86861788
147.35,-42.866
147.317,-42.85
146.9610447,-42.84862068
147.2910395,-42.84861775
147.3710382,-42.84861704
146.3210546,-42.83862634
147.5110359,-42.83861574
146.4010532,-42.83192558
147.8010309,-42.81861306
147.25,-42.8167
147.65,-42.816
147.1510411,-42.80861873
147.3510379,-42.80861696
145.9610593,-42.78862925
146.9110445,-42.78862073
147.633,-42.783
-65.05,-42.7667
147.616,-42.766
146.48,-42.75
146.63,-42.75
147.666,-42.75
-71.74102,-42.74419
-71.74264,-42.74208
147.2210388,-42.73861765
147.733,-42.733
146.8910436,-42.70862038
-71.63906,-42.70816
148.0310252,-42.69861028
146.7210459,-42.68862176
146.716,-42.683
147.733,-42.683
146.6,-42.68
146.6,-42.67
146.62,-42.67
148.02,-42.67
146.6210471,-42.66862252
146.617,-42.667
146.3,-42.65
147.616,-42.633
148.0910232,-42.62860931
148.05,-42.62100004
148.1110227,-42.61860908
148.1110224,-42.59860895
146.68,-42.58
148.07,-42.58
147.833,-42.566
172.82883,-42.52624
147.9110241,-42.50861012
-68.26667,-42.5
-64,-42.5
145.8,-42.46667
147.37,-42.45
147.38,-42.45
-73.80833,-42.44667
147.933,-42.433
-73.72639,-42.42444
147.35,-42.417
-66.95,-42.4
147.033,-42.4
147.916,-42.4
147.933,-42.4
147.95,-42.4
146.0510514,-42.38862574
-64.1333,-42.3833
147.28,-42.38
147.92,-42.38
146.466,-42.366
147.033,-42.366
147.05,-42.35
147.916,-42.35
-64.3,-42.3333
147.95,-42.316
147.966,-42.316
145.38333,-42.3
146.17,-42.3
145.1810631,-42.29863295
146.4410439,-42.29862168
-69.2333,-42.2833
146.466,-42.283
146.63,-42.28
147.28,-42.28
147.92,-42.28
145.83,-42.27
147.18,-42.27
-69.21667,-42.26667
145.833,-42.266
147.25,-42.233
146.48,-42.22
148.3,-42.21667
146.483,-42.2
148.316,-42.2
146.466,-42.183
146.15,-42.18
146.516,-42.166
145.28,-42.15
146.2,-42.15
146.5,-42.15
146.183,-42.133
146.5,-42.133
147.016,-42.133
147.066,-42.133
146.1010465,-42.13192361
146.23,-42.13
146.33,-42.13
146.48,-42.13
148.3,-42.13
146.7510364,-42.12861785
146.11667,-42.11667
145.166,-42.116
146.2,-42.116
146.1677452,-42.11532291
146.9310331,-42.09861608
-71.63333,-42.08333
145.483,-42.083
147.233,-42.083
152.516,-42.083
146.03,-42.08
146.17,-42.07
147.85,-42.07
146.166,-42.066
147.4,-42.05
145.52,-42.03
147.4910233,-42.02861077
147.72,-42.02
147.8,-42.02
147.83,-42.02
